iter	RMSE
457	39106.836
458	39106.76936
459	39106.72767
460	39100.06464
461	39099.86314
462	39071.46698
463	39067.13888
464	39067.03248
465	39032.20025
466	39032.13526
467	38756.48902
468	38751.6245
469	38749.67316
470	38740.69366
471	38686.85467
472	38686.73332
473	38683.73046
474	38681.36272
475	38680.91682
476	38671.49008
477	38664.98915
478	38664.61648
479	38660.92512
480	38651.90539
481	38634.00547
482	38620.08808
483	38616.80105
484	38615.59898
485	38611.62275
486	38611.47901
487	38609.78004
488	38597.76381
489	38593.90917
490	38570.35682
491	38568.7953
492	38564.82027
493	38532.42012
494	38528.666
495	38527.14018
496	38525.37044
497	38517.6726
498	38484.74689
499	38473.42249
